Time,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/3/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/3/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/3/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/3/2020,Central Massachusetts,Other (e.g. home and pediatric care),19555,93633,9676,160100,0
5/3/2020,Central Massachusetts,Total,161960,277517,44658,480450,79
5/3/2020,Metro Boston,Nursing home/Senior living,17370,48950,2766,29900,0
5/3/2020,Metro Boston,Hospital,31950,22300,2580,60500,204
5/3/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/3/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",29597,17200,11150,259120,0
5/3/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/3/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/3/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/3/2020,Metro Boston,State agency,1200,1000,108,16800,0
5/3/2020,Metro Boston,Other (e.g. home and pediatric care),9230,33150,3302,135772,0
5/3/2020,Metro Boston,Total,114482,138300,23236,525092,204
5/3/2020,Northeastern Massachusetts,Nursing home/Senior living,35265,93900,6766,73800,0
5/3/2020,Northeastern Massachusetts,Hospital,27230,30800,1842,9200,117
5/3/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/3/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",22970,39158,11351,199600,0
5/3/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/3/2020,Northeastern Massachusetts,EMS (Private),1520,4900,120,5000,0
5/3/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/3/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/3/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),12055,68540,3929,96232,0
5/3/2020,Northeastern Massachusetts,Total,135140,242598,24404,395832,117
5/3/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/3/2020,State agency,Hospital,0,0,0,0,0
5/3/2020,State agency,Community health center,0,0,0,0,0
5/3/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/3/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/3/2020,State agency,EMS (Private),0,0,0,0,0
5/3/2020,State agency,Local BOH,0,0,0,0,0
5/3/2020,State agency,State agency,48536,252838,30623,1633180,0
5/3/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/3/2020,State agency,Total,48536,252838,30623,1633180,0
5/4/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/4/2020,Massachusetts,Nursing home/Senior living,295845,664600,54475,566700,0
5/4/2020,Massachusetts,Hospital,213540,190400,28706,120900,675
5/4/2020,Massachusetts,Community health center,47090,79750,8013,59400,0
5/4/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",255984,307991,131492,1135450,0
5/4/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/4/2020,Massachusetts,EMS (Private),30240,26300,1668,34000,0
5/4/2020,Massachusetts,Local BOH,10725,21500,786,38000,0
5/4/2020,Massachusetts,State agency,59976,266750,50061,1688680,0
5/4/2020,Massachusetts,Other (e.g. home and pediatric care),124975,624513,54796,1046204,0
5/4/2020,Massachusetts,Total,1205700,2181804,329997,4689334,675
5/4/2020,Southeastern Massachusetts,Nursing home/Senior living,74340,146900,17812,184400,0
5/4/2020,Southeastern Massachusetts,Hospital,51200,42800,10440,47000,79
5/4/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/4/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51650,66105,30602,199620,0
5/4/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/4/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/4/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/4/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
5/4/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),33227,186080,18091,347500,0
5/4/2020,Southeastern Massachusetts,Total,262647,463085,77792,804720,79
5/4/2020,Metro West,Nursing home/Senior living,77410,147500,11680,111200,0
5/4/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/4/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/4/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",53124,69002,22528,133580,0
5/4/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/4/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/4/2020,Metro West,Local BOH,1560,11500,0,6000,0
5/4/2020,Metro West,State agency,1420,1800,1390,7500,0
5/4/2020,Metro West,Other (e.g. home and pediatric care),31261,155610,10241,192450,0
5/4/2020,Metro West,Total,274940,435762,52607,458730,136
5/4/2020,Western Massachusetts,Nursing home/Senior living,49320,120350,10222,78800,0
5/4/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/4/2020,Western Massachusetts,Community health center,5860,12100,990,11000,0
5/4/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",43828,71042,26532,131680,0
5/4/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/4/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/4/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/4/2020,Western Massachusetts,State agency,0,0,50,200,0
5/4/2020,Western Massachusetts,Other (e.g. home and pediatric care),18967,81500,9533,107750,0
5/4/2020,Western Massachusetts,Total,194375,345392,52573,350430,60
5/4/2020,Central Massachusetts,Nursing home/Senior living,38140,103000,5229,82400,0
5/4/2020,Central Massachusetts,Hospital,23120,11600,2466,2200,79
5/4/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
5/4/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",54615,45284,27609,211450,0
5/4/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/4/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/4/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/4/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/4/2020,Central Massachusetts,Other (e.g. home and pediatric care),19575,95633,9700,163500,0
5/4/2020,Central Massachusetts,Total,163460,282217,46432,484950,79
5/4/2020,Metro Boston,Nursing home/Senior living,17370,48950,2766,32700,0
5/4/2020,Metro Boston,Hospital,32110,26300,5580,60500,204
5/4/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/4/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",29597,17200,12870,259120,0
5/4/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/4/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/4/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/4/2020,Metro Boston,State agency,1200,1000,108,16800,0
5/4/2020,Metro Boston,Other (e.g. home and pediatric care),9230,35150,3302,138772,0
5/4/2020,Metro Boston,Total,114642,144300,27956,530892,204
5/4/2020,Northeastern Massachusetts,Nursing home/Senior living,39265,97900,6766,77200,0
5/4/2020,Northeastern Massachusetts,Hospital,27230,30800,1842,9200,117
5/4/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/4/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",23170,39358,11351,200000,0
5/4/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/4/2020,Northeastern Massachusetts,EMS (Private),1520,6900,120,5000,0
5/4/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/4/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/4/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),12715,70540,3929,96232,0
5/4/2020,Northeastern Massachusetts,Total,140000,250798,24404,399632,117
5/4/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/4/2020,State agency,Hospital,0,0,0,0,0
5/4/2020,State agency,Community health center,0,0,0,0,0
5/4/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/4/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/4/2020,State agency,EMS (Private),0,0,0,0,0
5/4/2020,State agency,Local BOH,0,0,0,0,0
5/4/2020,State agency,State agency,55636,260250,48233,1659980,0
5/4/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/4/2020,State agency,Total,55636,260250,48233,1659980,0
5/5/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/5/2020,Massachusetts,Nursing home/Senior living,303745,676600,54475,574900,0
5/5/2020,Massachusetts,Hospital,213840,190400,29506,120900,675
5/5/2020,Massachusetts,Community health center,47250,79750,8013,59400,0
5/5/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",256184,311191,132252,1143650,0
5/5/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/5/2020,Massachusetts,EMS (Private),30240,26300,1668,34000,0
5/5/2020,Massachusetts,Local BOH,10725,21500,786,38000,0
5/5/2020,Massachusetts,State agency,60696,268750,50061,1690680,0
5/5/2020,Massachusetts,Other (e.g. home and pediatric care),134939,657998,55871,1111404,0
5/5/2020,Massachusetts,Total,1224944,2232489,332632,4772934,675
5/5/2020,Southeastern Massachusetts,Nursing home/Senior living,75500,152900,17812,184400,0
5/5/2020,Southeastern Massachusetts,Hospital,51500,42800,11240,47000,79
5/5/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/5/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51650,66105,30722,199620,0
5/5/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/5/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/5/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/5/2020,Southeastern Massachusetts,State agency,1720,1400,280,3800,0
5/5/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),34247,192080,18091,352900,0
5/5/2020,Southeastern Massachusetts,Total,265127,475085,78712,810120,79
5/5/2020,Metro West,Nursing home/Senior living,83410,151500,11680,117000,0
5/5/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/5/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/5/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",53124,69002,22528,133580,0
5/5/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/5/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/5/2020,Metro West,Local BOH,1560,11500,0,6000,0
5/5/2020,Metro West,State agency,1940,3800,1390,9500,0
5/5/2020,Metro West,Other (e.g. home and pediatric care),33421,172110,11241,238250,0
5/5/2020,Metro West,Total,283620,458262,53607,512330,136
5/5/2020,Western Massachusetts,Nursing home/Senior living,49320,120350,10222,78800,0
5/5/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/5/2020,Western Massachusetts,Community health center,6020,12100,990,11000,0
5/5/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",43828,71042,26532,131680,0
5/5/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/5/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/5/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/5/2020,Western Massachusetts,State agency,0,0,50,200,0
5/5/2020,Western Massachusetts,Other (e.g. home and pediatric care),19627,85700,9533,116550,0
5/5/2020,Western Massachusetts,Total,195195,349592,52573,359230,60
5/5/2020,Central Massachusetts,Nursing home/Senior living,38140,103000,5229,82400,0
5/5/2020,Central Massachusetts,Hospital,23120,11600,2466,2200,79
5/5/2020,Central Massachusetts,Community health center,8420,20100,1158,12000,0
5/5/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",54615,47484,27749,211650,0
5/5/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/5/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/5/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/5/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/5/2020,Central Massachusetts,Other (e.g. home and pediatric care),22239,99733,9730,164000,0
5/5/2020,Central Massachusetts,Total,166124,288517,46602,485650,79
5/5/2020,Metro Boston,Nursing home/Senior living,17870,48950,2766,32700,0
5/5/2020,Metro Boston,Hospital,32110,26300,5580,60500,204
5/5/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/5/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",29597,17200,12870,259120,0
5/5/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/5/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/5/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/5/2020,Metro Boston,State agency,1200,1000,108,16800,0
5/5/2020,Metro Boston,Other (e.g. home and pediatric care),9730,35150,3302,138772,0
5/5/2020,Metro Boston,Total,115642,144300,27956,530892,204
5/5/2020,Northeastern Massachusetts,Nursing home/Senior living,39505,99900,6766,79600,0
5/5/2020,Northeastern Massachusetts,Hospital,27230,30800,1842,9200,117
5/5/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/5/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",23370,40358,11851,208000,0
5/5/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/5/2020,Northeastern Massachusetts,EMS (Private),1520,6900,120,5000,0
5/5/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/5/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/5/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),15675,73225,3974,100932,0
5/5/2020,Northeastern Massachusetts,Total,143400,256483,24949,414732,117
5/5/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/5/2020,State agency,Hospital,0,0,0,0,0
5/5/2020,State agency,Community health center,0,0,0,0,0
5/5/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/5/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/5/2020,State agency,EMS (Private),0,0,0,0,0
5/5/2020,State agency,Local BOH,0,0,0,0,0
5/5/2020,State agency,State agency,55836,260250,48233,1659980,0
5/5/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/5/2020,State agency,Total,55836,260250,48233,1659980,0
5/6/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/6/2020,Massachusetts,Nursing home/Senior living,306465,680600,54475,578500,0
5/6/2020,Massachusetts,Hospital,213840,190400,29506,120900,675
5/6/2020,Massachusetts,Community health center,48410,79750,8013,59600,0
5/6/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",257634,323391,133457,1171050,0
5/6/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/6/2020,Massachusetts,EMS (Private),30240,26300,1668,34000,0
5/6/2020,Massachusetts,Local BOH,10725,21500,786,38000,0
5/6/2020,Massachusetts,State agency,60919,271858,50686,1734280,0
5/6/2020,Massachusetts,Other (e.g. home and pediatric care),150639,696628,61466,1537204,0
5/6/2020,Massachusetts,Total,1246197,2290427,340057,5273534,675
5/6/2020,Southeastern Massachusetts,Nursing home/Senior living,75740,154900,17812,185600,0
5/6/2020,Southeastern Massachusetts,Hospital,51500,42800,11240,47000,79
5/6/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/6/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51650,71155,31382,208020,0
5/6/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/6/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/6/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/6/2020,Southeastern Massachusetts,State agency,1720,1600,480,3800,0
5/6/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),40487,204630,19061,386600,0
5/6/2020,Southeastern Massachusetts,Total,271607,494885,80542,853420,79
5/6/2020,Metro West,Nursing home/Senior living,83410,151500,11680,117000,0
5/6/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/6/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/6/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",53574,73102,22808,141980,0
5/6/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/6/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/6/2020,Metro West,Local BOH,1560,11500,0,6000,0
5/6/2020,Metro West,State agency,2003,3800,1590,9500,0
5/6/2020,Metro West,Other (e.g. home and pediatric care),41361,185510,12966,309850,0
5/6/2020,Metro West,Total,292073,475762,55812,592330,136
5/6/2020,Western Massachusetts,Nursing home/Senior living,49320,122350,10222,78800,0
5/6/2020,Western Massachusetts,Hospital,32160,51500,4004,0,60
5/6/2020,Western Massachusetts,Community health center,6020,12100,990,11000,0
5/6/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",44628,72792,26772,135680,0
5/6/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/6/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/6/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/6/2020,Western Massachusetts,State agency,0,0,50,200,0
5/6/2020,Western Massachusetts,Other (e.g. home and pediatric care),19767,89250,9533,119350,0
5/6/2020,Western Massachusetts,Total,196135,356892,52813,366030,60
5/6/2020,Central Massachusetts,Nursing home/Senior living,40140,103000,5229,84800,0
5/6/2020,Central Massachusetts,Hospital,23120,11600,2466,2200,79
5/6/2020,Central Massachusetts,Community health center,9580,20100,1158,12200,0
5/6/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",54815,48484,27774,214250,0
5/6/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/6/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/6/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/6/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/6/2020,Central Massachusetts,Other (e.g. home and pediatric care),22899,102983,9730,467800,0
5/6/2020,Central Massachusetts,Total,170144,292767,46627,794650,79
5/6/2020,Metro Boston,Nursing home/Senior living,17870,48950,2766,32700,0
5/6/2020,Metro Boston,Hospital,32110,26300,5580,60500,204
5/6/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/6/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",29597,17200,12870,259120,0
5/6/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/6/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/6/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/6/2020,Metro Boston,State agency,1200,1050,108,17000,0
5/6/2020,Metro Boston,Other (e.g. home and pediatric care),9730,37400,3302,143572,0
5/6/2020,Metro Boston,Total,115642,146600,27956,535892,204
5/6/2020,Northeastern Massachusetts,Nursing home/Senior living,39985,99900,6766,79600,0
5/6/2020,Northeastern Massachusetts,Hospital,27230,30800,1842,9200,117
5/6/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/6/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",23370,40658,11851,212000,0
5/6/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/6/2020,Northeastern Massachusetts,EMS (Private),1520,6900,120,5000,0
5/6/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/6/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/6/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),16395,76855,6874,110032,0
5/6/2020,Northeastern Massachusetts,Total,144600,260413,27849,427832,117
5/6/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/6/2020,State agency,Hospital,0,0,0,0,0
5/6/2020,State agency,Community health center,0,0,0,0,0
5/6/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/6/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/6/2020,State agency,EMS (Private),0,0,0,0,0
5/6/2020,State agency,Local BOH,0,0,0,0,0
5/6/2020,State agency,State agency,55996,263108,48458,1703380,0
5/6/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/6/2020,State agency,Total,55996,263108,48458,1703380,0
5/7/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/7/2020,Massachusetts,Nursing home/Senior living,308085,684600,54475,582100,0
5/7/2020,Massachusetts,Hospital,218340,194400,29506,120900,675
5/7/2020,Massachusetts,Community health center,48810,79750,8013,64000,0
5/7/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",268764,329496,135862,1189050,0
5/7/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/7/2020,Massachusetts,EMS (Private),30240,26300,1668,34000,0
5/7/2020,Massachusetts,Local BOH,10725,21500,786,38000,0
5/7/2020,Massachusetts,State agency,65309,296858,52236,1852280,0
5/7/2020,Massachusetts,Other (e.g. home and pediatric care),156031,722798,62011,1600804,0
5/7/2020,Massachusetts,Total,1273629,2355702,344557,5481134,675
5/7/2020,Southeastern Massachusetts,Nursing home/Senior living,76380,154900,17812,188000,0
5/7/2020,Southeastern Massachusetts,Hospital,51500,42800,11240,47000,79
5/7/2020,Southeastern Massachusetts,Community health center,9030,15200,285,8400,0
5/7/2020,Southeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",51880,72955,32562,214020,0
5/7/2020,Southeastern Massachusetts,Public safety (30-day supply),37800,0,0,0,0
5/7/2020,Southeastern Massachusetts,EMS (Private),3360,2600,186,8000,0
5/7/2020,Southeastern Massachusetts,Local BOH,320,2000,96,6000,0
5/7/2020,Southeastern Massachusetts,State agency,1720,1600,480,3800,0
5/7/2020,Southeastern Massachusetts,Other (e.g. home and pediatric care),40487,213680,19571,406200,0
5/7/2020,Southeastern Massachusetts,Total,272477,505735,82232,881420,79
5/7/2020,Metro West,Nursing home/Senior living,83570,151500,11680,118200,0
5/7/2020,Metro West,Hospital,47720,27400,4374,2000,136
5/7/2020,Metro West,Community health center,12140,14350,2154,6000,0
5/7/2020,Metro West,"Local Municipalities (e.g. Fire, Police, Public EMS)",57932,74102,23108,145580,0
5/7/2020,Metro West,Public safety (30-day supply),42785,0,0,0,0
5/7/2020,Metro West,EMS (Private),7520,8600,240,0,0
5/7/2020,Metro West,Local BOH,1560,11500,0,6000,0
5/7/2020,Metro West,State agency,2003,3800,1590,9500,0
5/7/2020,Metro West,Other (e.g. home and pediatric care),42221,191730,12991,327050,0
5/7/2020,Metro West,Total,297451,482982,56137,614330,136
5/7/2020,Western Massachusetts,Nursing home/Senior living,49820,122350,10222,78800,0
5/7/2020,Western Massachusetts,Hospital,33160,51500,4004,0,60
5/7/2020,Western Massachusetts,Community health center,6260,12100,990,15400,0
5/7/2020,Western Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",47428,74897,27372,139580,0
5/7/2020,Western Massachusetts,Public safety (30-day supply),33015,0,0,0,0
5/7/2020,Western Massachusetts,EMS (Private),9040,6900,942,16000,0
5/7/2020,Western Massachusetts,Local BOH,2185,2000,300,5000,0
5/7/2020,Western Massachusetts,State agency,0,0,50,200,0
5/7/2020,Western Massachusetts,Other (e.g. home and pediatric care),21593,91500,9533,122550,0
5/7/2020,Western Massachusetts,Total,202501,361247,53413,377530,60
5/7/2020,Central Massachusetts,Nursing home/Senior living,40140,103000,5229,84800,0
5/7/2020,Central Massachusetts,Hospital,23120,11600,2466,2200,79
5/7/2020,Central Massachusetts,Community health center,9740,20100,1158,12200,0
5/7/2020,Central Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",55275,49684,28049,218750,0
5/7/2020,Central Massachusetts,Public safety (30-day supply),14450,0,0,0,0
5/7/2020,Central Massachusetts,EMS (Private),3800,1300,180,5000,0
5/7/2020,Central Massachusetts,Local BOH,1340,3000,90,8000,0
5/7/2020,Central Massachusetts,State agency,0,2300,0,400,0
5/7/2020,Central Massachusetts,Other (e.g. home and pediatric care),24059,106033,9730,476200,0
5/7/2020,Central Massachusetts,Total,171924,297017,46902,807550,79
5/7/2020,Metro Boston,Nursing home/Senior living,17870,50950,2766,32700,0
5/7/2020,Metro Boston,Hospital,34110,30300,5580,60500,204
5/7/2020,Metro Boston,Community health center,9960,14700,3030,17000,0
5/7/2020,Metro Boston,"Local Municipalities (e.g. Fire, Police, Public EMS)",31252,17200,12870,259120,0
5/7/2020,Metro Boston,Public safety (30-day supply),6455,0,0,0,0
5/7/2020,Metro Boston,EMS (Private),5000,0,0,0,0
5/7/2020,Metro Boston,Local BOH,3720,1000,300,6000,0
5/7/2020,Metro Boston,State agency,1200,1050,108,17000,0
5/7/2020,Metro Boston,Other (e.g. home and pediatric care),9730,41900,3302,146972,0
5/7/2020,Metro Boston,Total,119297,157100,27956,539292,204
5/7/2020,Northeastern Massachusetts,Nursing home/Senior living,40305,101900,6766,79600,0
5/7/2020,Northeastern Massachusetts,Hospital,28730,30800,1842,9200,117
5/7/2020,Northeastern Massachusetts,Community health center,1680,3300,396,5000,0
5/7/2020,Northeastern Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",24996,40658,11901,212000,0
5/7/2020,Northeastern Massachusetts,Public safety (30-day supply),32820,0,0,0,0
5/7/2020,Northeastern Massachusetts,EMS (Private),1520,6900,120,5000,0
5/7/2020,Northeastern Massachusetts,Local BOH,1600,2000,0,7000,0
5/7/2020,Northeastern Massachusetts,State agency,0,0,0,0,0
5/7/2020,Northeastern Massachusetts,Other (e.g. home and pediatric care),17941,77955,6884,121832,0
5/7/2020,Northeastern Massachusetts,Total,149592,263513,27909,439632,117
5/7/2020,State agency,Nursing home/Senior living,0,0,0,0,0
5/7/2020,State agency,Hospital,0,0,0,0,0
5/7/2020,State agency,Community health center,0,0,0,0,0
5/7/2020,State agency,"Local Municipalities (e.g. Fire, Police, Public EMS)",0,0,0,0,0
5/7/2020,State agency,Public safety (30-day supply),0,0,0,0,0
5/7/2020,State agency,EMS (Private),0,0,0,0,0
5/7/2020,State agency,Local BOH,0,0,0,0,0
5/7/2020,State agency,State agency,60386,288108,50008,1821380,0
5/7/2020,State agency,Other (e.g. home and pediatric care),0,0,0,0,0
5/7/2020,State agency,Total,60386,288108,50008,1821380,0
5/8/2020,Region,Entity,N95s/KN95s,Masks,Gowns,Gloves,Ventilators
5/8/2020,Massachusetts,Nursing home/Senior living,313105,694600,55109,599300,0
5/8/2020,Massachusetts,Hospital,219340,198400,29906,124500,675
5/8/2020,Massachusetts,Community health center,49310,85950,8089,70200,0
5/8/2020,Massachusetts,"Local Municipalities (e.g. Fire, Police, Public EMS)",270908,343096,137332,1224350,0
5/8/2020,Massachusetts,Public safety (30-day supply),167325,0,0,0,0
5/8/2020,Massachusetts,EMS (Private),30640,28300,1668,35000,0
5/8/2020,Massachusetts,Local BOH,10725,21500,786,38000,0
5/8/2020,Massachusetts,State agency,66159,303952,52336,1944580,0
5/8/2020,Massachusetts,Other (e.g. home and pediatric care),163471,774298,63683,1648104,0
5/8/2020,Massachusetts,Total,1290983,2450096,348909,5684034,675
5/8/2020,Southeastern Massachusetts,Nursing home/Senior living,78380,156900,18246,199400,0
5/8/2020,Southeastern Massachusetts,Hospital,51500,42800,11240,47000,79
